timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1715850750.636193,-0.3948133,-0.013848426,-0.6044039,-0.3948133,-0.013848426,-0.6044039
1715850750.6382923,-0.3948133,-0.013848426,-0.6044039,-0.3948133,-0.013848426,-0.6044039
1715850750.6403534,-0.3948133,-0.013848426,-0.6044039,-0.3948133,-0.013848426,-0.6044039
1715850750.6456137,-0.39907435,0.008522108,-0.65553653,-0.39907435,0.008522108,-0.65553653
1715850750.6477659,-0.39907435,0.008522108,-0.65553653,-0.39907435,0.008522108,-0.65553653
1715850750.650129,-0.39907435,0.008522108,-0.65553653,-0.39907435,0.008522108,-0.65553653
1715850750.6545467,-0.40120488,0.020240007,-0.6683197,-0.40120488,0.020240007,-0.6683197
1715850750.6568112,-0.40120488,0.020240007,-0.6683197,-0.40120488,0.020240007,-0.6683197
1715850750.658825,-0.40120488,0.020240007,-0.6683197,-0.40120488,0.020240007,-0.6683197
1715850750.6609938,-0.40120488,0.020240007,-0.6683197,-0.40120488,0.020240007,-0.6683197
1715850750.6632018,-0.40120488,0.020240007,-0.6683197,-0.40120488,0.020240007,-0.6683197
1715850750.6653094,-0.40120488,0.020240007,-0.6683197,-0.40120488,0.020240007,-0.6683197
1715850750.6683233,-0.40120488,0.020240007,-0.6683197,-0.40120488,0.020240007,-0.6683197
1715850750.6769109,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.6790102,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.681307,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.6832914,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.685398,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.687572,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.6896374,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.6917746,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.6939056,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.6961136,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
